,total_h2_sold_per_station,prioritize,profitability threshold,longitude,latitude,station_location,size_station,cumulative_demand
0,4390.4,1,1.0976000000000001,-1.7236873,47.227907575,hub,large,0.08224395928931706
1,3440.6399999999994,1,0.8602,4.8068959,43.51376845,hub,large,0.14669636820176143
2,3269.8738453607893,1,0.8174684613401973,2.871694551830265,50.10113427032396,road,large,0.20794986934495008
3,3269.8738453607893,1,0.8174684613401973,2.900111614837857,50.31465862370554,road,large,0.26920337048813875
4,2525.2798881055114,1,0.6313199720263779,4.797245451617696,44.6710621306595,road,large,0.31650863112759775
5,2525.2798881055114,1,0.6313199720263779,5.229410711910947,43.55796565488035,road,large,0.3638138917670568
6,2472.96,1,0.6182,3.1071152,50.70652168,hub,large,0.4101390606728762
7,1953.28,1,0.9765999999999999,1.8226483,48.99262965,hub,medium,0.44672923031587847
8,1899.52,1,0.9498000000000001,0.1967848999999999,48.0073849,hub,medium,0.4823123310696238
9,1833.4484927842796,1,0.9167242463921398,3.659101216100502,47.796680223375965,road,medium,0.5166577354062697
10,1833.4484927842796,1,0.9167242463921398,4.859624150499589,47.00049723958791,road,medium,0.5510031397429155
11,1756.16,1,0.8781,2.7442236,49.0859622,hub,medium,0.5839007234586423
12,1738.24,1,0.8691,-0.500972,43.8911318,hub,medium,0.6164626175446168
13,1727.7398603371616,1,0.8638699301685808,5.287071457819081,47.93015943864478,road,medium,0.6488278158718991
14,1727.7398603371616,1,0.8638699301685808,6.106938436318125,49.36241531782738,road,medium,0.6811930141991812
15,1684.48,1,0.8422,2.133125958056288,47.929667775,hub,medium,0.7127478393958989
16,1648.64,1,0.8243,1.12658455,49.2721432,hub,medium,0.7436312853331118
17,1610.436274044585,1,0.8052181370222925,5.319601368458224,47.07060581767057,road,medium,0.773799073088342
18,1610.436274044585,1,0.8052181370222925,5.170233439193096,47.0324649998648,road,medium,0.8039668608435722
19,990.2720041997802,1,0.9902720041997802,0.6227616634793093,44.14766528731921,road,small,0.8225173096406652
20,990.2720041997802,1,0.9902720041997802,1.401982162269939,43.71629670670593,road,small,0.8410677584377582
21,976.78628886874,1,0.9767862888687401,0.1601671345671602,46.2114804408092,road,small,0.8593655836418589
22,976.78628886874,1,0.9767862888687401,-0.2734496792394273,45.24043326446728,road,small,0.8776634088459595
23,967.68,1,0.9677,2.303717033333333,48.72079506666667,hub,small,0.8957906488525845
24,967.68,1,0.9677,-0.2449274,44.5530659,hub,small,0.9139178888592095
25,931.84,1,0.9318000000000001,-4.400979,48.4346366,hub,small,0.9313737496063298
26,917.8053469550974,1,0.9178053469550974,2.1194176536925013,47.20800802246639,road,small,0.9485667036857969
27,917.8053469550974,1,0.9178053469550974,3.160583961957347,45.8433306210893,road,small,0.965759657765264
28,913.92,1,0.9139,2.1089221,49.33314875,hub,small,0.982879828882632
29,913.92,1,0.9139,2.6073963,46.3400296,hub,small,1.0
