,latitude,longitude,size_station,type
0,48.3304943,1.6561556,small,hub
1,48.0073849,0.19678489999999993,large,hub
2,46.6923549,-1.37015155,small,hub
3,48.0706687,-0.7734022,small,hub
4,47.26248486666667,-0.8075022431892661,large,hub
5,47.227907575,-1.7236873000000001,large,hub
6,48.5802573,1.4266178,large,hub
7,47.929667775,2.1331259580562882,large,hub
8,47.70764916666666,1.51228,large,hub
9,46.92184236666667,1.9492851333333334,medium,hub
10,47.41560185,0.7323256499999999,small,hub
11,49.44561,5.00451,small,hub
12,49.2721432,1.12658455,large,hub
13,49.501102960000004,0.27469962,medium,hub
14,49.18029815,-0.3806945,small,hub
15,50.363937449999995,3.034328,small,hub
16,49.24458335,3.35388885,small,hub
17,49.2549479,3.0909275,small,hub
18,49.295819566666665,2.556946433333333,small,hub
19,50.5292608,2.6402097,small,hub
20,50.7396639,2.3062068,small,hub
21,49.558284150000006,2.8096962999999997,small,hub
22,50.4615291,2.8869899500000002,large,hub
23,50.70652168,3.1071152,large,hub
24,50.426610249999996,2.9656677499999997,small,hub
25,50.6816228,2.9034955,medium,hub
26,50.53807346666667,3.0485902,small,hub
27,50.2954202,3.914409,small,hub
28,49.33314875,2.1089221,medium,hub
29,49.7705466,2.486822,small,hub
30,50.7259985,1.6118771,small,hub
31,49.8941708,2.2956951,small,hub
32,50.01100785,3.24576215,small,hub
33,49.0859622,2.7442236,large,hub
34,50.35282115,3.5254037,small,hub
35,51.02138396666666,2.324583566666667,small,hub
36,50.2993922,2.8016229,large,hub
37,45.18516,1.19692,small,hub
38,48.61668796,2.5744550200000003,small,hub
39,49.9905624,2.8478956,small,hub
40,48.3849647,2.9557006,small,hub
41,49.119853899999995,2.41678515,small,hub
42,48.856511049999995,2.3428261,small,hub
43,48.61654485,2.389412725,small,hub
44,48.72079506666667,2.303717033333333,medium,hub
45,48.822767739999996,2.71844838,medium,hub
46,48.91043035,2.05240985,small,hub
47,48.99262965,1.8226483,large,hub
48,49.07445955,4.164996550000001,small,hub
49,49.1706321,5.348031,small,hub
50,47.9333166,7.43372735,large,hub
51,48.582520200000005,7.6917206,medium,hub
52,49.188601950000006,6.1858609,small,hub
53,48.7064399,6.1515794,small,hub
54,48.2664812,4.09230895,small,hub
55,44.6192826,4.67266266,small,hub
56,45.8832252,6.0357263,small,hub
57,45.5662672,5.9203636,small,hub
58,46.3400296,2.6073963,medium,hub
59,45.69666528,5.10632506,medium,hub
60,46.0157993,4.7621660666666665,small,hub
61,44.8753434,4.8774936,small,hub
62,45.3501289,5.5047411,small,hub
63,45.68413366666667,4.849215233333333,small,hub
64,45.83526155,3.0978047,small,hub
65,45.4826177,4.32339345,small,hub
66,43.52913485,3.83236095,small,hub
67,43.66635743333333,1.3771836666666668,small,hub
68,42.6985304,2.8953121,medium,hub
69,45.8354243,1.2644847,small,hub
70,44.5530659,-0.2449274,medium,hub
71,44.7411574,-0.6841225,small,hub
72,43.8911318,-0.500972,large,hub
73,46.5802596,0.340196,small,hub
74,46.2595794,-0.3466615,small,hub
75,44.884068575,-0.5021358,small,hub
76,43.51376845,4.8068959,large,hub
77,44.014629033333335,4.932212166666666,small,hub
78,43.54834925,5.2058757,small,hub
79,48.2215274,-1.811747775,small,hub
80,48.4346366,-4.400979,medium,hub
81,46.919803200000004,4.8621213,small,hub
82,47.2380222,6.0243622,small,hub
83,47.29090545,5.0978508,medium,hub
84,47.7961287,3.570579,small,hub
85,46.3036683,4.8322266,large,hub
0,50.10113427032396,2.871694551830265,large,road
1,50.31465862370554,2.900111614837857,large,road
2,49.04271719901225,4.322751294974057,medium,road
3,49.14055474089337,6.464241184101785,medium,road
4,48.22918530744294,4.18006986333003,small,road
5,48.03963794650407,5.061185958249656,small,road
6,47.796680223375965,3.659101216100502,medium,road
7,47.00049723958791,4.859624150499589,medium,road
8,44.6710621306595,4.797245451617696,large,road
9,43.55796565488035,5.229410711910947,large,road
10,43.74520979912986,7.366670364166511,medium,road
11,43.79715090031751,7.483722004254011,medium,road
12,43.338968764234544,3.295225920469808,large,road
13,42.47539934548716,2.8569308097380333,large,road
14,47.73070989708539,1.506053020112609,medium,road
15,46.62314981719808,0.3479900372412308,medium,road
16,48.02267640035102,0.1314132909311033,small,road
17,47.39887443178217,-1.202757788162948,small,road
18,51.01843747503984,2.403069684487531,medium,road
19,45.781268536901656,1.3041355241746295,medium,road
20,44.698371084124005,1.5730757121210202,medium,road
21,50.06911016213508,3.1772109392932224,small,road
22,48.72880255270012,4.222623702628568,small,road
23,48.31368299170269,0.1372591177411941,small,road
24,49.034479224056746,0.4431726641926086,small,road
25,49.84777227187714,2.239440433788444,small,road
26,49.85393503436813,2.5190615190981727,small,road
27,47.93015943864478,5.287071457819081,medium,road
28,49.36241531782738,6.106938436318125,medium,road
29,47.07060581767057,5.319601368458224,medium,road
30,47.0324649998648,5.170233439193096,medium,road
31,46.071392555176445,5.320898732225743,small,road
32,46.33856967630998,4.852805556401998,small,road
33,44.14766528731921,0.6227616634793093,small,road
34,43.71629670670593,1.401982162269939,small,road
35,43.199275973231714,0.2082169733979421,small,road
36,43.47577027898601,1.320546000542573,small,road
37,47.20800802246639,2.1194176536925013,small,road
38,45.8433306210893,3.160583961957347,small,road
39,43.65626162907388,3.446472928662317,small,road
40,43.34566879882294,3.283802841060554,small,road
41,47.32829151210023,1.4997346539012797,small,road
42,47.32104699563461,1.768895587104402,small,road
43,45.15411552685054,1.3825464402589709,small,road
44,45.97322450665115,3.09761982266696,small,road
45,45.15952891016676,4.831327665012681,small,road
46,44.361930695795664,4.6924092454054565,small,road
47,46.2114804408092,0.1601671345671602,small,road
48,45.24043326446728,-0.2734496792394273,small,road
49,48.13857581889598,-1.7709900507375231,small,road
50,48.55317586203815,-3.880213223723064,small,road
51,43.9149536253382,2.058522086681707,small,road
